Title,Location,Salary,Description 1,Salary1,Focus,Days,Title1,Company,jobsearchrnnx2x1,Location1,Salary2,mtxxsm1,days
"Baseline Security Engineer, Senior","Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,"Baseline Security Engineer, Senior",Booz Allen Hamilton4.2 ★,4.2 ★,"Washington, DC",$93K - $212K (Employer est.),Work closely with government stakeholders in understanding the vision and direction of the information technology program and decompose this architecture and……,3d
"Firewall Engineer Cybersecurity - Washington, DC","Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,"Firewall Engineer Cybersecurity - Washington, DC","Hood Engineering and Consulting Services, LLC",,"Washington, DC",$150K - $170K (Employer est.),"B.A. or B.S. degree and at least 14 years of experience with system engineering, computer science, information systems, engineering science, or engineering……",1d
Cyber Security Manager,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Cyber Security Manager,ManTech International Corporation4.3 ★,4.3 ★,"Herndon, VA",$93K - $144K (Glassdoor est.),"For all positions requiring access to technology/software source code that is subject to export control laws, employment with the company is contingent on……",10d
IOS Reverse Engineer(MD-FSP),"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,IOS Reverse Engineer(MD-FSP),Management Science and Solutions,,"Hanover, MD",$160K - $221K (Employer est.),5+ years of software engineering / reverse engineering / vulnerability research experience (or 3 years experience + a Masters).…,10d
Cyber Security Engineer SME L4 - Cloud Environment,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Cyber Security Engineer SME L4 - Cloud Environment,P3S Corporation3.2 ★,3.2 ★,"Washington, DC",$150K - $162K (Employer est.),The Cybersecurity Subject Matter Expert (SME) provides an expert level of functional knowledge to the project and team leadership in a specialized field such as……,22d
Cyber Detection and Response Analyst,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Cyber Detection and Response Analyst,ManTech International Corporation4.3 ★,4.3 ★,"McLean, VA",$71K - $112K (Glassdoor est.),"For all positions requiring access to technology/software source code that is subject to export control laws, employment with the company is contingent on……",11d
Sr. Security Engineer,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Sr. Security Engineer,Marathon TS4.0 ★,4.0 ★,"Washington, DC",$150K (Employer est.),"Active collaboration with technical leads, developers and the client to ensure your system is within FISMA compliance. Familiar with a log management tool.…",5d
Web Developer,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Web Developer,"Trinity Global Consulting, LLC5.0 ★",5.0 ★,"Washington, DC",$140K (Employer est.),"Customer support experience/knowledge to determine needs and design preferences, create require code, and provide technical support to resolve web issues.…",30d+
Cyber Security Engineer (Up to 25% Profit Sharing Benefit!),"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Cyber Security Engineer (Up to 25% Profit Sharing Benefit!),CACI3.9 ★,3.9 ★,"Sterling, VA",,"Use automated tools to provide vulnerability and compliance assessments. Act as the subject matter expert on SSPs, STPs, and POA&Ms, bridging engineering……",30d+
DevOps Engineer - TS Clearance Required,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,DevOps Engineer - TS Clearance Required,Eighty20 Collective,,"Chantilly, VA",$95K (Employer est.),Generate visual media that can communicate the benefits of a software tool or system to both technical and non-technical audiences. LDAP or MS Active Directory.…,30d+
Federal - SailPoint SME,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Federal - SailPoint SME,,,"Arlington, VA",,,30d+
Technical Security Engineer - TS (Hybrid Position),"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Technical Security Engineer - TS (Hybrid Position),,,"Bethesda, MD",$150K - $180K (Employer est.),,30d+
Cyber Network Security Engineer,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Cyber Network Security Engineer,,,"Chantilly, VA",,,30d+
Information Systems Security Engineer (ISSE),"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Information Systems Security Engineer (ISSE),,,"Annapolis Junction, MD",$160K (Employer est.),,3d
Cybersecurity Sytems Engineer Level 3 - Cloud Environment,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Cybersecurity Sytems Engineer Level 3 - Cloud Environment,,,"Washington, DC",$96K - $146K (Glassdoor est.),,27d
Security Architect,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Security Architect,,,"Washington, DC",$143K - $204K (Glassdoor est.),,30d+
"Cyber Security Engineer, Detections Lead","Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,"Cyber Security Engineer, Detections Lead",,,"Springfield, VA",$81K - $118K (Glassdoor est.),,30d+
Pen Tester 16180678,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Pen Tester 16180678,,,"Arlington, VA",$115K (Employer est.),,30d+
"Security Engineer, 340B","Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,"Security Engineer, 340B",,,"Washington, DC",$125K - $170K (Employer est.),,30d+
